,compound,date,negative,positive,source,text,tweets ago
31,0.0,Wed Sep 26 07:31:04 +0000 2018,0.0,0.0,@BBC,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",32
32,0.0,Wed Sep 26 07:02:07 +0000 2018,0.0,0.0,@BBC,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",33
33,0.296,Tue Sep 25 20:03:05 +0000 2018,0.0,0.145,@BBC,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",34
34,0.4019,Tue Sep 25 19:03:06 +0000 2018,0.0,0.137,@BBC,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",35
35,0.0,Tue Sep 25 16:32:49 +0000 2018,0.0,0.0,@BBC,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",36
36,0.6114,Tue Sep 25 16:02:03 +0000 2018,0.0,0.285,@BBC,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",37
37,0.5267,Tue Sep 25 15:02:02 +0000 2018,0.089,0.226,@BBC,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",38
38,0.0,Tue Sep 25 14:00:23 +0000 2018,0.0,0.0,@BBC,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",39
39,0.0,Tue Sep 25 13:05:02 +0000 2018,0.0,0.0,@BBC,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",40
40,0.0,Tue Sep 25 12:32:05 +0000 2018,0.0,0.0,@BBC,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,41
41,0.0,Tue Sep 25 11:03:05 +0000 2018,0.0,0.0,@BBC,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",42
42,0.0,Tue Sep 25 10:39:01 +0000 2018,0.0,0.0,@BBC,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",43
43,0.0,Tue Sep 25 10:03:02 +0000 2018,0.0,0.0,@BBC,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",44
44,0.4215,Tue Sep 25 08:53:02 +0000 2018,0.0,0.128,@BBC,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",45
45,0.2263,Tue Sep 25 08:30:00 +0000 2018,0.0,0.213,@BBC,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",46
46,0.0,Tue Sep 25 08:02:07 +0000 2018,0.0,0.0,@BBC,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",47
47,0.6369,Tue Sep 25 07:32:06 +0000 2018,0.0,0.231,@BBC,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",48
